Date : 2025-04-19 15:59:56
Directory : c:\Flutter Projects\nascon\nascon
Total : 111 files,  2920 codes, 329 comments, 481 blanks, all 3730 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
+-----------------+------------+------------+------------+------------+------------+
| Dart            |         49 |      1,218 |         36 |        146 |      1,400 |
| C++             |         16 |        556 |        131 |        189 |        876 |
| XML             |         10 |        470 |         53 |         12 |        535 |
| JSON            |          6 |        278 |          0 |          4 |        282 |
| HTML            |          9 |        118 |         15 |         39 |        172 |
| Swift           |          6 |         69 |          7 |         21 |         97 |
| Ruby            |          2 |         64 |          3 |         20 |         87 |
| Perl            |          5 |         48 |          0 |         15 |         63 |
| JavaScript      |          2 |         46 |          3 |          7 |         56 |
| YAML            |          2 |         32 |         81 |         17 |        130 |
| Markdown        |          2 |         13 |          0 |          9 |         22 |
| Java Properties |          2 |          8 |          0 |          2 |         10 |
+-----------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                            | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                               |        111 |      2,920 |        329 |        481 |      3,730 |
| . (Files)                                                                                       |          4 |         43 |         81 |         24 |        148 |
| _templates                                                                                      |         15 |        193 |          3 |         56 |        252 |
| _templates\bloc                                                                                 |          6 |         98 |          0 |         30 |        128 |
| _templates\bloc\with-prompt                                                                     |          6 |         98 |          0 |         30 |        128 |
| _templates\bloc\with-prompt (Files)                                                             |          5 |         70 |          0 |         20 |         90 |
| _templates\bloc\with-prompt\states                                                              |          1 |         28 |          0 |         10 |         38 |
| _templates\generator                                                                            |          4 |         44 |          0 |         14 |         58 |
| _templates\generator\help                                                                       |          1 |          5 |          0 |          0 |          5 |
| _templates\generator\new                                                                        |          1 |         13 |          0 |          6 |         19 |
| _templates\generator\with-prompt                                                                |          2 |         26 |          0 |          8 |         34 |
| _templates\init                                                                                 |          1 |          4 |          0 |          1 |          5 |
| _templates\init\repo                                                                            |          1 |          4 |          0 |          1 |          5 |
| _templates\screen                                                                               |          4 |         47 |          3 |         11 |         61 |
