"filename", "language", "Perl", "HTML", "Markdown", "YAML", "JavaScript", "JSON", "Dart", "C++", "Swift", "Ruby", "XML", "Java Properties", "comment", "blank", "total"
"c:\Flutter Projects\nascon\nascon\README.md", "Markdown", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17
"c:\Flutter Projects\nascon\nascon\_templates\bloc\with-prompt\bloc.dart.ejs", "HTML", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 23
"c:\Flutter Projects\nascon\nascon\_templates\bloc\with-prompt\data_provider.dart.ejs", "HTML", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"c:\Flutter Projects\nascon\nascon\_templates\bloc\with-prompt\event.dart.ejs", "HTML", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13
"c:\Flutter Projects\nascon\nascon\_templates\bloc\with-prompt\prompt.js", "JavaScript", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 2, 21
"c:\Flutter Projects\nascon\nascon\_templates\bloc\with-prompt\state.dart.ejs", "HTML", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 23
"c:\Flutter Projects\nascon\nascon\_templates\bloc\with-prompt\states\_test.dart.ejs", "HTML", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 38
"c:\Flutter Projects\nascon\nascon\_templates\generator\help\index.ejs.t", "Perl", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"c:\Flutter Projects\nascon\nascon\_templates\generator\new\hello.ejs.t", "Perl", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 19
"c:\Flutter Projects\nascon\nascon\_templates\generator\with-prompt\hello.ejs.t", "Perl", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 19
"c:\Flutter Projects\nascon\nascon\_templates\generator\with-prompt\prompt.ejs.t", "Perl", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
